,State,Year,Quarter,District,Transaction_Count,Transaction_Amount
352,assam,2021,1,bongaigaon district,321020,874996649.1810182
353,assam,2021,1,dima hasao district,104846,283821933.22303617
354,assam,2021,1,baksa district,260583,764921383.8988845
355,assam,2021,1,charaideo district,138143,380869059.4350337
356,assam,2021,1,darrang district,259665,757825643.4042199
357,assam,2021,1,kamrup metropolitan district,9400818,24003716533.697937
358,assam,2021,1,hailakandi district,189886,515905421.9034898
359,assam,2021,1,barpeta district,768249,2378951523.3799787
360,assam,2021,1,goalpara district,400249,1203600745.3463283
361,assam,2021,1,biswanath district,197774,446301042.8269607
362,assam,2021,1,jorhat district,388882,856404785.4295708
363,assam,2021,2,tinsukia district,606143,1318534292.5264628
364,assam,2021,2,lakhimpur district,361975,751021666.6941358
365,assam,2021,2,kamrup district,737877,1686926641.0395198
366,assam,2021,2,kokrajhar district,291109,760467202.4006457
367,assam,2021,2,karbi anglong district,275847,664132421.6116567
368,assam,2021,2,sivasagar district,303100,635897961.4545786
369,assam,2021,2,dibrugarh district,870918,1976153977.7728927
370,assam,2021,2,south salmara mancachar district,213176,702484951.4538276
371,assam,2021,2,nagaon district,928187,2446953429.3994994
372,assam,2021,2,dhubri district,528440,1316708576.7981756
373,assam,2021,2,golaghat district,382567,828266419.210104
374,assam,2021,2,udalguri district,229956,535712130.36414516
375,assam,2021,2,majuli district,44407,85365999.51292944
376,assam,2021,2,sonitpur district,848080,1929013770.5926275
377,assam,2021,2,hojai district,285880,717552682.8425927
378,assam,2021,2,marigaon district,452067,1213004303.8796182
379,assam,2021,2,chirang district,173228,416705187.85423946
380,assam,2021,2,cachar district,743120,1680050955.980187
381,assam,2021,2,nalbari district,265787,614926960.4062058
382,assam,2021,2,west karbi anglong district,51169,93322156.33253612
383,assam,2021,2,dhemaji district,299375,707439590.8525485
384,assam,2021,2,karimganj district,376322,1008636324.5592346
385,assam,2021,2,bongaigaon district,445957,1107075859.5018854
386,assam,2021,2,dima hasao district,127333,291445306.00893736
387,assam,2021,2,baksa district,333425,874733682.7849679
388,assam,2021,2,charaideo district,169721,406368639.266593
389,assam,2021,2,darrang district,373027,991719331.0625447
390,assam,2021,2,kamrup metropolitan district,12113618,26948905679.328754
391,assam,2021,2,hailakandi district,258553,622102715.3474636
392,assam,2021,2,barpeta district,1094358,2927546915.4449625
393,assam,2021,2,goalpara district,544911,1475602701.2507868
394,assam,2021,2,biswanath district,255222,546335899.8896878
395,assam,2021,2,jorhat district,448050,911359043.2389444
396,assam,2021,4,tinsukia district,924326,2099664801.0310597
397,assam,2021,4,lakhimpur district,560279,1263722648.4815915
398,assam,2021,4,kamrup district,1326629,2906827875.9780307
399,assam,2021,4,kokrajhar district,529425,1392051533.964034
400,assam,2021,4,karbi anglong district,448701,1157896438.235495
401,assam,2021,4,sivasagar district,452511,991840782.996415
402,assam,2021,4,dibrugarh district,1489321,3247229901.080471
403,assam,2021,4,south salmara mancachar district,314595,919174483.7722924
404,assam,2021,4,nagaon district,1599255,4181552742.898879
405,assam,2021,4,dhubri district,947815,2452971274.5289254
406,assam,2021,4,golaghat district,597064,1337575801.9516916
407,assam,2021,4,udalguri district,406086,917680978.0577191
408,assam,2021,4,majuli district,65312,129028300.4276244
409,assam,2021,4,sonitpur district,1437714,3119948215.7692075
410,assam,2021,4,hojai district,527676,1247022294.0951037
411,assam,2021,4,marigaon district,846244,2372441369.988904
412,assam,2021,4,chirang district,298090,751602013.9126096
413,assam,2021,4,cachar district,1424029,3288405319.0304804
414,assam,2021,4,nalbari district,437199,1015183560.9984299
415,assam,2021,4,west karbi anglong district,72436,155335117.4559282
416,assam,2021,4,dhemaji district,450526,1098025411.0441427
417,assam,2021,4,karimganj district,719693,2011084236.7440817
418,assam,2021,4,bongaigaon district,760610,1900609318.3116775
419,assam,2021,4,dima hasao district,188499,461001023.11421907
420,assam,2021,4,baksa district,575080,1530357403.5627034
421,assam,2021,4,charaideo district,255415,657528333.4175942
422,assam,2021,4,darrang district,772608,2012722511.547618
423,assam,2021,4,kamrup metropolitan district,22903930,48177919267.3695
424,assam,2021,4,hailakandi district,494043,1131182051.5056129
425,assam,2021,4,barpeta district,2145496,5341626359.64399
426,assam,2021,4,goalpara district,920783,2590433257.901761
427,assam,2021,4,biswanath district,368466,837297984.1361362
428,assam,2021,4,jorhat district,760505,1488025280.2612674
429,assam,2021,3,tinsukia district,726497,1620117007.2069793
430,assam,2021,3,lakhimpur district,433255,930738036.1633754
431,assam,2021,3,kamrup district,957373,2112276358.4188256
432,assam,2021,3,kokrajhar district,366661,966061545.1374367
433,assam,2021,3,karbi anglong district,338533,828250761.6786599
434,assam,2021,3,sivasagar district,350815,733449637.2748528
435,assam,2021,3,dibrugarh district,1116075,2517711536.27678
436,assam,2021,3,south salmara mancachar district,245208,682772092.1272931
437,assam,2021,3,nagaon district,1156024,2903215135.7842274
438,assam,2021,3,dhubri district,668723,1682447560.536893
439,assam,2021,3,golaghat district,446587,965096814.5378057
440,assam,2021,3,udalguri district,291168,657660643.9182184
441,assam,2021,3,majuli district,51208,102034225.95327796
442,assam,2021,3,sonitpur district,1030160,2385666128.443201
443,assam,2021,3,hojai district,368350,874185464.7310762
444,assam,2021,3,marigaon district,554657,1470486045.6813893
445,assam,2021,3,chirang district,220676,528538770.5729964
446,assam,2021,3,cachar district,998685,2285248942.8809485
447,assam,2021,3,nalbari district,318284,722110352.781739
448,assam,2021,3,west karbi anglong district,57137,112522665.53612569
449,assam,2021,3,dhemaji district,359737,848544237.4544444
450,assam,2021,3,karimganj district,524239,1393649226.0294735
451,assam,2021,3,bongaigaon district,548175,1331228200.2758412
452,assam,2021,3,dima hasao district,149975,353350846.5920651
453,assam,2021,3,baksa district,418859,1074324607.6751742
454,assam,2021,3,charaideo district,201059,479392451.000507
455,assam,2021,3,darrang district,498938,1241235475.745712
456,assam,2021,3,kamrup metropolitan district,16840668,36123082534.66112
457,assam,2021,3,hailakandi district,360281,801449299.0694864
458,assam,2021,3,barpeta district,1436928,3522432994.68204
459,assam,2021,3,goalpara district,650085,1747257315.9936597
460,assam,2021,3,biswanath district,288131,620203649.3743759
461,assam,2021,3,jorhat district,531290,1083758709.1114147
462,assam,2018,1,tinsukia district,41237,45886201.028968215
463,assam,2018,1,lakhimpur district,24946,17798094.851239465
464,assam,2018,1,kamrup district,47859,41868129.255927615
465,assam,2018,1,kokrajhar district,16397,17935304.652874034
466,assam,2018,1,karbi anglong district,15032,14875159.1867853
467,assam,2018,1,sivasagar district,16898,17611863.81889959
