,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
304,ladakh,2018,4,Others,599,1031858.4532022325
305,ladakh,2018,3,Recharge & bill payments,13136,4676712.344045115
306,ladakh,2018,3,Peer-to-peer payments,10133,77085890.57395566
307,ladakh,2018,3,Merchant payments,1168,2016579.2506718007
308,ladakh,2018,3,Financial Services,84,69317.12287872119
309,ladakh,2018,3,Others,343,242477.8532947429
310,ladakh,2022,1,Peer-to-peer payments,343041,1685241980.664183
311,ladakh,2022,1,Merchant payments,167100,279354508.988595
312,ladakh,2022,1,Recharge & bill payments,116486,56203999.28920926
313,ladakh,2022,1,Financial Services,1247,2023327.6779848374
314,ladakh,2022,1,Others,2141,2217102.222236882
315,ladakh,2022,2,Peer-to-peer payments,608870,2941624382.277109
316,ladakh,2022,2,Merchant payments,346146,508439376.68091977
317,ladakh,2022,2,Recharge & bill payments,158996,88531677.99442025
318,ladakh,2022,2,Financial Services,1585,2487560.1853386
319,ladakh,2022,2,Others,2476,2235180.8584825676
320,ladakh,2022,4,Peer-to-peer payments,559259,2350047971.603546
321,ladakh,2022,4,Merchant payments,382456,462189599.28430265
322,ladakh,2022,4,Recharge & bill payments,138793,79767790.98577228
323,ladakh,2022,4,Financial Services,1248,1198715.2123450316
324,ladakh,2022,4,Others,1616,1273495.592982805
325,ladakh,2022,3,Peer-to-peer payments,659896,2955729492.4985514
326,ladakh,2022,3,Merchant payments,367022,551472983.879604
327,ladakh,2022,3,Recharge & bill payments,160269,94288872.34747365
328,ladakh,2022,3,Financial Services,1555,1815866.8961950848
329,ladakh,2022,3,Others,2116,1892134.7520804727
330,kerala,2023,1,Merchant payments,84583249,44370168231.0
331,kerala,2023,1,Peer-to-peer payments,46080274,138477919269.0
332,kerala,2023,1,Recharge & bill payments,16629085,10446589963.0
333,kerala,2023,1,Financial Services,160843,201389795.0
334,kerala,2023,1,Others,168114,141022419.0
335,kerala,2023,2,Merchant payments,90195971,49220348954.0
336,kerala,2023,2,Peer-to-peer payments,48068911,146558117198.0
337,kerala,2023,2,Recharge & bill payments,17613119,11702913951.0
338,kerala,2023,2,Financial Services,162540,193012060.0
339,kerala,2023,2,Others,130076,122278822.0
340,kerala,2020,1,Peer-to-peer payments,6634439,22862907701.60516
341,kerala,2020,1,Recharge & bill payments,5507580,1716538277.3696735
342,kerala,2020,1,Merchant payments,3485036,1810329140.1843734
343,kerala,2020,1,Financial Services,38050,17160614.593254916
