,State,Year,Quarter,District_Pincode,Transaction_count,Transaction_amount
366,tripura,2018,1,799006,4835,6148718.805493982
367,tripura,2018,1,799007,4641,4240873.416960197
368,tripura,2018,1,799045,4527,3312163.515499535
369,tripura,2018,1,799102,4215,3628475.9295311337
370,tripura,2018,2,799001,16193,22630189.05025975
371,tripura,2018,2,799003,13267,13893727.162020518
372,tripura,2018,2,799002,9434,13824656.411057238
373,tripura,2018,2,799046,9406,4432799.96670127
374,tripura,2018,2,799155,8945,5474306.142294022
375,tripura,2018,2,799007,7847,8291791.644447763
376,tripura,2018,2,799006,7759,10227642.941695252
377,tripura,2018,2,799004,7715,7630447.348588114
378,tripura,2018,2,799045,7218,6651788.938860076
379,tripura,2018,2,799102,6211,6659764.110741316
380,tripura,2018,4,799001,30211,53358135.459365055
381,tripura,2018,4,799003,24129,33130054.552197695
382,tripura,2018,4,799004,16984,15044604.790466465
383,tripura,2018,4,799155,16216,16016227.927989459
384,tripura,2018,4,799002,15450,31283607.328756448
385,tripura,2018,4,799115,15124,6515322.042602584
386,tripura,2018,4,799007,13392,19340901.48889567
387,tripura,2018,4,799102,13186,24013906.297928028
388,tripura,2018,4,799006,12843,27058449.477130245
389,tripura,2018,4,799114,12739,17731538.275294676
390,tripura,2018,3,799001,26677,41554796.06232005
391,tripura,2018,3,799155,22775,13878380.349654801
392,tripura,2018,3,799003,20863,26521165.492775697
393,tripura,2018,3,799004,15957,15259828.623471003
394,tripura,2018,3,799002,13549,21727933.41999336
395,tripura,2018,3,799007,13085,14738361.157598253
396,tripura,2018,3,799125,11029,5890832.270108508
397,tripura,2018,3,799006,10737,18576688.886306185
398,tripura,2018,3,799045,10730,11264413.648288762
399,tripura,2018,3,799277,10474,6636278.515974367
400,tripura,2022,1,799001,331041,646519724.2691705
401,tripura,2022,1,799003,146078,273820222.0061229
402,tripura,2022,1,799006,110660,198187734.14251772
403,tripura,2022,1,799002,99326,184391648.29607794
404,tripura,2022,1,799007,81097,156834509.6687275
405,tripura,2022,1,799102,75836,176590209.86560526
406,tripura,2022,1,799114,73949,166978873.0450884
407,tripura,2022,1,799250,71594,163105645.28297308
408,tripura,2022,1,799004,65225,131348141.0895373
409,tripura,2022,1,799005,63965,100090144.61204371
410,tripura,2022,2,799001,407651,759465139.192843
411,tripura,2022,2,799003,174182,313050332.0984084
412,tripura,2022,2,799006,127250,215384605.7081984
413,tripura,2022,2,799002,114792,204667703.4873031
414,tripura,2022,2,799045,93306,145616980.44059926
415,tripura,2022,2,799007,90692,168134583.98132753
416,tripura,2022,2,799102,88619,198684750.0916176
417,tripura,2022,2,799114,87313,196883972.2693556
418,tripura,2022,2,799250,84082,182710246.64021888
419,tripura,2022,2,799005,78379,119951133.6884234
420,tripura,2022,4,799001,1547249,3286195023.042714
421,tripura,2022,4,799003,203913,346744483.3587987
422,tripura,2022,4,799006,155304,262180183.60865727
423,tripura,2022,4,799002,130048,228832816.924597
424,tripura,2022,4,799277,123078,278812213.88555306
425,tripura,2022,4,799007,110395,193352299.19761324
426,tripura,2022,4,799250,109016,211430536.20554632
427,tripura,2022,4,799045,108589,175091180.5513392
428,tripura,2022,4,799114,102682,198722297.4924404
429,tripura,2022,4,799102,98570,206592406.2818148
430,tripura,2022,3,799001,939704,1937548277.2018309
431,tripura,2022,3,799003,187351,325824471.7983676
432,tripura,2022,3,799006,144908,245071692.06024504
433,tripura,2022,3,799002,122273,216718649.56432867
434,tripura,2022,3,799114,104422,212784836.0453348
435,tripura,2022,3,799007,103140,184210552.17301154
436,tripura,2022,3,799250,96157,195274757.12707353
437,tripura,2022,3,799045,92909,157560825.577133
438,tripura,2022,3,799102,92491,202188747.5135752
439,tripura,2022,3,799005,84533,129672707.32143867
440,ladakh,2023,1,194104,365465,817164561.0
441,ladakh,2023,1,194101,331624,804996085.0
442,ladakh,2023,1,194201,209303,537988565.0
443,ladakh,2023,1,194401,120264,349082766.0
444,ladakh,2023,1,194107,83588,214131235.0
